   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      190    0.000    0.000    0.001    0.000 ansitowin32.py:49(isatty)
        2    0.000    0.000    0.001    0.000 typeinfer.py:776(__call__)
       63    0.001    0.000    0.001    0.000 analysis.py:91(liveness)
      916    0.000    0.000    0.001    0.000 event.py:100(__init__)
       66    0.000    0.000    0.001    0.000 value.py:143(name)
        2    0.000    0.000    0.001    0.000 callconv.py:562(call_function)
       24    0.000    0.000    0.001    0.000 context.py:263(resolve_getattr)
        2    0.000    0.000    0.001    0.000 context.py:329(resolve_setitem)
        8    0.000    0.000    0.001    0.000 lowering.py:1487(alloca)
      148    0.000    0.000    0.001    0.000 instructions.py:532(<listcomp>)
     2859    0.000    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      586    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
     1364    0.000    0.000    0.001    0.000 targetconfig.py:111(getter)
        2    0.000    0.000    0.001    0.000 imputils.py:241(iternext_wrapper)
       26    0.000    0.000    0.001    0.000 values.py:970(descr_prototype)
      144    0.000    0.000    0.001    0.000 instructions.py:410(__init__)
       16    0.000    0.000    0.001    0.000 context.py:700(load_additional_registries)
        1    0.000    0.000    0.001    0.001 consts.py:85(<genexpr>)
       10    0.000    0.000    0.001    0.000 templates.py:481(apply)
     1080    0.000    0.000    0.001    0.000 utils.py:466(stream_list)
       42    0.000    0.000    0.001    0.000 context.py:268(core)
       10    0.000    0.000    0.001    0.000 templates.py:272(_select)
        3    0.000    0.000    0.001    0.000 lowering.py:866(lower_call)
        1    0.000    0.000    0.001    0.001 codegen.py:1393(_add_module)
        1    0.000    0.000    0.001    0.001 codegen.py:1094(add_module)
       44    0.000    0.000    0.001    0.000 functools.py:884(wrapper)
       12    0.000    0.000    0.001    0.000 numpy_support.py:357(ufunc_find_matching_loop)
       62    0.000    0.000    0.001    0.000 module.py:251(_next)
       36    0.001    0.000    0.001    0.000 analysis.py:81(def_reach)
        8    0.000    0.000    0.001    0.000 lowering.py:1492(alloca_lltype)
       10    0.000    0.000    0.001    0.000 context.py:592(resolve_overload)
     1619    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
       48    0.000    0.000    0.001    0.000 interpreter.py:1638(_dispatch)
       34    0.000    0.000    0.001    0.000 module.py:45(add_metadata)
1088/1066    0.000    0.000    0.001    0.000 abstract.py:120(__eq__)
        1    0.000    0.000    0.001    0.001 codegen.py:1087(_load_defined_symbols)
       39    0.000    0.000    0.001    0.000 builder.py:875(call)
       39    0.000    0.000    0.001    0.000 instructions.py:151(descr)
     1148    0.000    0.000    0.001    0.000 pprint.py:102(_safe_tuple)
       39    0.000    0.000    0.001    0.000 instructions.py:120(_descr)
      160    0.000    0.000    0.001    0.000 context.py:428(install_registry)
       16    0.000    0.000    0.001    0.000 base.py:1183(__init__)
        1    0.000    0.000    0.001    0.001 codegen.py:1296(_scan_and_fix_unresolved_refs)
       38    0.000    0.000    0.001    0.000 cgutils.py:417(get_or_insert_function)
     1109    0.000    0.000    0.001    0.000 builder.py:351(_insert)
        2    0.000    0.000    0.001    0.000 codegen.py:1091(<setcomp>)
       19    0.000    0.000    0.001    0.000 inspect.py:3252(signature)
        4    0.000    0.000    0.001    0.000 errors.py:325(highlight)
        3    0.000    0.000    0.001    0.000 lowering.py:1108(_lower_call_normal)
      112    0.000    0.000    0.001    0.000 inline_closurecall.py:1490(list_var_used)
        9    0.000    0.000    0.001    0.000 transforms.py:306(yield_loops_with_multiple_backedges)
       16    0.000    0.000    0.001    0.000 base.py:1212(__call__)
        3    0.000    0.000    0.001    0.000 base.py:1100(get_abi_sizeof)
       19    0.000    0.000    0.001    0.000 inspect.py:2998(from_callable)
        2    0.000    0.000    0.001    0.000 rangeobj.py:149(iternext)
       68    0.000    0.000    0.001    0.000 models.py:497(getter)
      204    0.000    0.000    0.001    0.000 ssa.py:190(_run_ssa_block_pass)
       11    0.000    0.000    0.001    0.000 controlflow.py:217(_loops)
        2    0.000    0.000    0.001    0.000 ssa.py:167(_run_block_rewrite)
        3    0.000    0.000    0.001    0.000 types.py:48(get_abi_size)
       19    0.000    0.000    0.001    0.000 inspect.py:2375(_signature_from_callable)
       11    0.000    0.000    0.001    0.000 controlflow.py:660(_find_loops)
8682/8602    0.001    0.000    0.001    0.000 {built-in method builtins.len}
  576/559    0.000    0.000    0.001    0.000 values.py:455(_get_reference)
      153    0.000    0.000    0.001    0.000 cpu_options.py:16(__repr__)
       39    0.000    0.000    0.001    0.000 instructions.py:65(__init__)
        4    0.000    0.000    0.001    0.000 module.py:167(link_in)
       10    0.000    0.000    0.001    0.000 controlflow.py:270(loops)
       16    0.000    0.000    0.001    0.000 base.py:1200(_has_loc)
        4    0.000    0.000    0.001    0.000 errors.py:322(indicate)
        3    0.000    0.000    0.001    0.000 codegen.py:1230(_function_pass_manager)
      144    0.000    0.000    0.001    0.000 instructions.py:415(descr)
      190    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
       22    0.000    0.000    0.000    0.000 arrayobj.py:50(mark_positive)
        3    0.000    0.000    0.000    0.000 types.py:33(_get_ll_pointer_type)
        4    0.000    0.000    0.000    0.000 errors.py:313(code)
      586    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
       51    0.000    0.000    0.000    0.000 base.py:513(get_constant)
     6358    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 errors.py:319(filename)
       22    0.000    0.000    0.000    0.000 arrayobj.py:39(set_range_metadata)
        8    0.000    0.000    0.000    0.000 templates.py:607(generic)
        2    0.000    0.000    0.000    0.000 callwrapper.py:38(cleanup_arg)
        8    0.000    0.000    0.000    0.000 templates.py:698(_get_impl)
       69    0.000    0.000    0.000    0.000 context.py:542(_rate_arguments)
        8    0.000    0.000    0.000    0.000 imputils.py:432(impl_ret_borrowed)
       28    0.000    0.000    0.000    0.000 cgutils.py:682(unpack_tuple)
       95    0.000    0.000    0.000    0.000 __init__.py:474(WinError)
       98    0.000    0.000    0.000    0.000 values.py:1071(__init__)
        4    0.000    0.000    0.000    0.000 linker.py:5(link_modules)
        6    0.000    0.000    0.000    0.000 base.py:987(make_helper)
      691    0.000    0.000    0.000    0.000 types.py:30(__ne__)
        1    0.000    0.000    0.000    0.000 ir_utils.py:2291(fixup_var_define_in_scope)
        6    0.000    0.000    0.000    0.000 base.py:983(_make_helper)
       54    0.000    0.000    0.000    0.000 ir.py:575(__repr__)
      288    0.000    0.000    0.000    0.000 arrayprint.py:1018(__call__)
     2007    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      144    0.000    0.000    0.000    0.000 errors.py:467(catch_warnings)
       21    0.000    0.000    0.000    0.000 pythonapi.py:1283(_get_function)
       76    0.000    0.000    0.000    0.000 functions.py:305(<listcomp>)
       28    0.000    0.000    0.000    0.000 cgutils.py:689(<listcomp>)
        1    0.000    0.000    0.000    0.000 ssa.py:83(_fix_ssa_vars)
       48    0.000    0.000    0.000    0.000 byteflow.py:276(dispatch)
       61    0.000    0.000    0.000    0.000 numbers.py:1331(constant_integer)
       98    0.000    0.000    0.000    0.000 values.py:976(<genexpr>)
      233    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
        7    0.000    0.000    0.000    0.000 ir.py:97(_get_path)
        1    0.000    0.000    0.000    0.000 interpreter.py:1005(peep_hole_fuse_dict_add_updates)
     6219    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       47    0.000    0.000    0.000    0.000 builder.py:738(alloca)
      907    0.000    0.000    0.000    0.000 ir.py:1221(find_insts)
1718/1334    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        7    0.000    0.000    0.000    0.000 ntpath.py:722(relpath)
       39    0.000    0.000    0.000    0.000 value.py:206(is_declaration)
       25    0.000    0.000    0.000    0.000 controlflow.py:139(process)
       45    0.000    0.000    0.000    0.000 builder.py:977(insert_value)
       19    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
      288    0.000    0.000    0.000    0.000 arrayprint.py:753(_extendLine_pretty)
        9    0.000    0.000    0.000    0.000 postproc.py:37(cfg)
       25    0.000    0.000    0.000    0.000 controlflow.py:394(_eliminate_dead_blocks)
        4    0.000    0.000    0.000    0.000 module.py:109(verify)
       51    0.000    0.000    0.000    0.000 cpu_options.py:122(encode)
        7    0.000    0.000    0.000    0.000 typeinfer.py:1488(typeof_const)
